id,title,merchant,asin,price,purchaseUrl,imageUrl
amazon_B0D47BFZ2G,Bwodke Framed Neutral Abstract Wall Art Set,Amazon.ca,B0D47BFZ2G,19.99,https://www.amazon.ca/dp/B0D47BFZ2G,https://m.media-amazon.com/images/I/71IPBcmKhZL._AC_SX679_.jpg
amazon_B0BQ3N3HS1,CEMABT Ceramic Body Face Vase,Amazon.ca,B0BQ3N3HS1,18.99,https://www.amazon.ca/dp/B0BQ3N3HS1,https://m.media-amazon.com/images/I/6161YWsMUkL._AC_SX679_.jpg
amazon_B09TZKJ5BG,CEMABT Donut Ceramic Vase,Amazon.ca,B09TZKJ5BG,16.99,https://www.amazon.ca/dp/B09TZKJ5BG,https://m.media-amazon.com/images/I/71y0wKJHZ0L._AC_SX679_.jpg
amazon_B0CDLP9SQ3,CEREMONY Wooden Incense Holder with Glass Ash Catcher,Amazon.ca,B0CDLP9SQ3,23.99,https://www.amazon.ca/dp/B0CDLP9SQ3,https://m.media-amazon.com/images/I/61HTszC6IHL._AC_SY879_.jpg
amazon_B0848JGM78,COCODOR Flower Reed Diffuser Set White Jasmine,Amazon.ca,B0848JGM78,27.99,https://www.amazon.ca/dp/B0848JGM78,https://m.media-amazon.com/images/I/61h2tXuDjjL._AC_SX679_.jpg
amazon_B06ZYH411W,Command Display Floating Wall Shelves Set,Amazon.ca,B06ZYH411W,25.02,https://www.amazon.ca/dp/B06ZYH411W,https://m.media-amazon.com/images/I/71C6kInVA0L._AC_SY879_.jpg
amazon_B07Y5HTRVD,Dahey Gold Hanging Round Wall Mirror,Amazon.ca,B07Y5HTRVD,22.99,https://www.amazon.ca/dp/B07Y5HTRVD,https://m.media-amazon.com/images/I/61qpbCI8JhL._AC_SX679_.jpg
amazon_B0CXXD2TFZ,Der Rose 2-Piece Faux Hanging Plant Set,Amazon.ca,B0CXXD2TFZ,26.99,https://www.amazon.ca/dp/B0CXXD2TFZ,https://m.media-amazon.com/images/I/814dRWyGaIL._AC_SX679_.jpg
amazon_B0BZ8DZV6D,Der Rose 3-Piece Mini Faux Succulent Set,Amazon.ca,B0BZ8DZV6D,19.99,https://www.amazon.ca/dp/B0BZ8DZV6D,https://m.media-amazon.com/images/I/81UChF-GWVL._AC_SX679_.jpg
amazon_B0F93NDNTM,EDISHINE 13.4 Inch Wood Table Lamp,Amazon.ca,B0F93NDNTM,33.99,https://www.amazon.ca/dp/B0F93NDNTM,https://m.media-amazon.com/images/I/71qmmtA4kFL._AC_SX679_.jpg
